"type_chr","val_chr","pt_ns_chr","fn_to_call_chr","default_val_chr","old_class_lgl"
"character","NA_character_","base","","NA_character_",FALSE
"list","list(list())","base","list","list()",FALSE
"logical","NA","base","","NA",FALSE
"numeric","NA_real_","base","","NA_real_",FALSE
"POSIXt",".POSIXct(NA_character_)","base",".POSIXct","NA_character_",FALSE
"sf","sf::st_sf(sf::st_sfc())","sf","st_sf","sf::st_sfc()",FALSE
"tbl_df","tibble::tibble()","tibble","tibble","",FALSE
"integer","NA_integer_","base","","NA_integer_",FALSE
"ready4_constructor_tbl","ready4class::ready4_constructor_tbl()","ready4class","ready4_constructor_tbl","",TRUE
"ready4_class_pt_lup","ready4class::ready4_class_pt_lup()","ready4class","ready4_class_pt_lup","",TRUE
"firstbounce_aqol6d_adol","firstbounce_aqol6d_adol()","ready4u","firstbounce_aqol6d_adol","",TRUE
"firstbounce_phq9","firstbounce_phq9()","ready4u","firstbounce_phq9","",TRUE
"firstbounce_bads","firstbounce_bads()","ready4u","firstbounce_bads","",TRUE
"firstbounce_gad7","firstbounce_gad7()","ready4u","firstbounce_gad7","",TRUE
"firstbounce_oasis","firstbounce_oasis()","ready4u","firstbounce_oasis","",TRUE
"firstbounce_scared","firstbounce_scared()","ready4u","firstbounce_scared","",TRUE
"firstbounce_k6","firstbounce_k6()","ready4u","firstbounce_k6","",TRUE
