Parameter,Estimate_LMM,SE_LMM,CI_LMM,R2_LMM,E_LMM
PHQ9 model ,,,,0.777,0.092
PHQ9 baseline,-3.856,0.092,"-4.034, -3.677",,
PHQ9 change,-3.232,0.122,"-3.469, -2.99",,
SOFAS baseline,0.304,0.063,"0.179, 0.429",,
SOFAS change,0.435,0.081,"0.275, 0.596",,
BADS model,,,,0.739,0.1
BADS baseline,0.912,0.029,"0.856, 0.968",,
BADS change,0.669,0.035,"0.601, 0.737",,
SOFAS baseline,0.369,0.076,"0.224, 0.518",,
SOFAS change,0.636,0.089,"0.463, 0.81",,
GAD7 model,,,,0.736,0.1
GAD7 baseline,-3.631,0.12,"-3.865, -3.397",,
GAD7 change,-3.137,0.154,"-3.436, -2.835",,
SOFAS baseline,0.805,0.073,"0.665, 0.949",,
SOFAS change,0.76,0.088,"0.584, 0.934",,
OASIS Model ,,,,0.775,0.093
OASIS baseline,-4.777,0.15,"-5.076, -4.482",,
OASIS change,-4.438,0.192,"-4.816, -4.059",,
SOFAS baseline,0.658,0.072,"0.517, 0.797",,
SOFAS change,0.7,0.083,"0.535, 0.863",,
SCARED model,,,,0.723,0.103
SCARED baseline,-1.075,0.039,"-1.153, -0.998",,
SCARED change,-1.056,0.063,"-1.178, -0.932",,
SOFAS baseline,0.833,0.075,"0.686, 0.981",,
SOFAS change,0.964,0.088,"0.794, 1.134",,
K6 model,,,,0.707,0.106
K6 baseline,-3.419,0.123,"-3.660, -3.177",,
K6 change,-2.609,0.151,"-2.903, -2.316",,
SOFAS baseline,0.646,0.076,"0.501, 0.798",,
SOFAS change,0.808,0.094,"0.624, 0.994",,
,,,,,
